name,address,lat,lng,rating,reviews,location_name,fsq_id
Queen's Necklace,"Marine Drive, Mumbai, Mahārāshtra",0,0,,0,Churchgate,
The Karnatak Sports Association,"Karnatak Sports Centre, Cross Maidan, Mumbai, Mahārāshtra",0,0,,0,Churchgate,
Bca Bar Lounge,"Garware Club House (D Road), Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
Baskin-Robbins,"Marine Lines (Near Churchgate Station), Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
Archies Gallery,"Jamshedji Tata Road (Churchgate), Mumbai, Mahārāshtra",0,0,,0,Churchgate,
Sunderbai Hall,,0,0,,0,Churchgate,
Cross Maidan,"Mahatma Gandhi Road, Mumbai 400 001, Mahārāshtra",0,0,,0,Churchgate,
Pizza By The Bay,"Marine Dr, Churchgate, Mumbai, Mahārāshtra",0,0,,0,Churchgate,
Garware Club House,"D Road, Wankhede Stadium (Marine Drive), Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
Pronto,"Churchgate, Eros Cinema Building (Maharishi Karve Road), Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
Brabourne Stadium,"Dinshaw Vachha Road, Mumbai 400 020, Mahārāshtra",0,0,,0,Churchgate,
Umame,"church gate, Mumbai, Mahārāshtra",0,0,,0,Churchgate,
Rameshwaram - Churchgate,"Jamshedji Tata Road, Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
Wet Wicket Bar,"Cricket Club of India (Churchgate), Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
Voodoo,"Apollo Bunder, Mumbai, Mahārāshtra",0,0,,0,Churchgate,
Fashion Street,"Mahatma Gandhi Road, Mumbai 400 001, Mahārāshtra",0,0,,0,Churchgate,
All Rounder,CCI,0,0,,0,Churchgate,
Khao Galli,,0,0,,0,Churchgate,
Café Coffee Day,"Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
Hindu Gymkhana,"near marine lines station (marine lines), Mumbai, Mahārāshtra",0,0,,0,Marine Lines,
Kapoor Kulfi,"75/D, Shree Kant Palekar Marg, Chandanwadi, Mumbai, Mahārāshtra",0,0,,0,Marine Lines,
Parsee Gymkhana,"D Mullah Marg, Mumbai 400 002, Mahārāshtra",0,0,,0,Marine Lines,
5 Spice,"Marine Lines, Mumbai, Mahārāshtra",0,0,,0,Marine Lines,
Café Coffee Day,"Princess street (Next to parsi dairy), Mumbai 400002, Mahārāshtra",0,0,,0,Marine Lines,
Shroff Eye Clinic,"Gobind Mahal, 86 B Marine Drive (G Road), Mumbai, Mahārāshtra",0,0,,0,Marine Lines,
Little Italy's La Pizzeria,"Ground Floor, Block No. 5, Shalimar Building, 91 G, Mumbai 400020, Mahārāshtra",0,0,,0,Marine Lines,
P.M.Sanghvi & Co Jewellers,"540-A JSS Road (Chira Bazar), Mumbai 400002, Mahārāshtra",0,0,,0,Marine Lines,
Bhimji Bone Setter,"Princess Street, Mumbai, Mahārāshtra",0,0,,0,Marine Lines,
Jyoti Veg Restaurant,"khodadad circle (dadar TT), Mumbai 400014, Mahārāshtra",0,0,,0,Dadar,
Café Coffee Day,"Shop No 11 And 12, Empress Mahal, C-170, Dr Ambedkar Road, Dadar Tt, Khodadad Circle, Dadar East, Mumbai, Mahārāshtra",0,0,,0,Dadar,
Pritam Da Dhaba,"Dr. Ambedkar Road, Dadar (East), Mumbai 400014, Mahārāshtra",0,0,,0,Dadar,
Grandmama's Café,"Next To Pritam (Off BA road), Mumbai 400014, Mahārāshtra",0,0,,0,Dadar,
Café Coffee Day,"Swami Gyan Jivandas Marg (Dr Ambedkar Marg), Mumbai 400014, Mahārāshtra",0,0,,0,Dadar,
Hotel Midtown Pritam,"Dharam Putra, Dadar TT Cir, Dadar East, Dadar, Mumbai 400014, Mahārāshtra",0,0,,0,Dadar,
"G.S.B. Sarvajanik Ganeshotsav Mandal, Wadala","Katrak Road (Wadala), Mumbai, Mahārāshtra",0,0,,0,Dadar,
Kohinoor Electronics Dadar,"Opp Dadar Fire Brigade (Station Road), Mumbai 400014, Mahārāshtra",0,0,,0,Dadar,
Parag Juice Center,"Circle, Dadar West, Mumbai, Maharashtra (Dadar (West)), Mumbai, Mahārāshtra",0,0,,0,Dadar,
Mandir devi,"Mumbai, Mahārāshtra",0,0,,0,Dadar,
Art Gallery,"Mumbai, Mahārāshtra",0,0,,0,Dadar,
Dadar TT,Mahārāshtra,0,0,,0,Dadar,
Time Watchmakers,"D-14 Empire Mahal, Khodadad Circle (Dadar T.T.), Mumbai 400014, Mahārāshtra",0,0,,0,Dadar,
D. Damodar Mithaiwala,"Khodadad Circle, Mumbai 400 014, Mahārāshtra",0,0,,0,Dadar,
Cafe Colony Stores,Hindu Colony,0,0,,0,Dadar,
Shinde Masala Mart,Wadala,0,0,,0,Dadar,
Flarepath,"Wadala Udyog Bhavan, Mumbai 400031, Mahārāshtra",0,0,,0,Dadar,
Punjabi Tadka,"opp Swami Narayan Mandir, Dadar east, Mumbai 400014, Mahārāshtra",0,0,,0,Dadar,
Great punjab restaurant,"186 prakash mansion (Dadar E), Mumbai 400014, Mahārāshtra",0,0,,0,Dadar,
Nico hall,"Road No 26, Dadar East, Mumbai, Mahārāshtra",0,0,,0,Dadar,
Nuetron (Blackberry Service Center),,0,0,,0,Dadar,
